Season,Player,Team,Pos,name
2017,Jalen Ramsey,JAX,CB,J.Ramsey
2017,James O'Shaughnessy,JAX,TE,J.O'Shaughnessy
2017,Jarrod Wilson,JAX,DB,J.Wilson
2017,Jason Myers,JAX,K,J.Myers
2017,Josh Lambo,JAX,K,J.Lambo
2017,Keelan Cole,JAX,WR,K.Cole
2017,Leonard Fournette,JAX,RB,L.Fournette
2017,Lerentee McCray,JAX,DE,L.McCray
2017,Malik Jackson,JAX,DT,M.Jackson
2017,Marcedes Lewis,JAX,TE,M.Lewis
2017,Marqise Lee,JAX,WR,M.Lee
2017,Michael Bennett,JAX,DT,M.Bennett
2017,Myles Jack,JAX,OLB,M.Jack
2017,Paul Posluszny,JAX,MLB,P.Posluszny
2017,Peyton Thompson,JAX,DB,P.Thompson
2017,Sheldon Day,JAX,DT,S.Day
2017,T.J. Yeldon,JAX,RB,T.Yeldon
2017,Tashaun Gipson,JAX,FS,T.Gipson
2017,Telvin Smith,JAX,OLB,T.Smith
2017,Tommy Bohanon,JAX,FB,T.Bohanon
2017,Tyler Patmon,JAX,DB,T.Patmon
2017,Yannick Ngakoue,JAX,DE,Y.Ngakoue
2017,Alfred Blue,HOU,RB,A.Blue
2017,Andre Hal,HOU,FS,A.Hal
2017,Ben Heeney,HOU,LB,B.Heeney
2017,Benardrick McKinney,HOU,ILB,B.McKinney
2017,Brandon Dunn,HOU,DT,B.Dunn
2017,Braxton Miller,HOU,WR,B.Miller
2017,Brennan Scarlett,HOU,OLB,B.Scarlett
2017,Brian Cushing,HOU,ILB,B.Cushing
2017,Brian Peters,HOU,LB,B.Peters
2017,Bruce Ellington,HOU,WR,B.Ellington
2017,C.J. Fiedorowicz,HOU,TE,C.Fiedorowicz
2017,Carlos Watkins,HOU,DT,C.Watkins
2017,Chris Thompson,HOU,WR,C.Thompson
2017,Christian Covington,HOU,DE,C.Covington
2017,Corey Moore,HOU,SS,C.Moore
2017,D.J. Reader,HOU,NT,D.Reader
2017,D'Onta Foreman,HOU,RB,D.Foreman
2017,DeAndre Hopkins,HOU,WR,D.Hopkins
2017,Deshaun Watson,HOU,QB,D.Watson
2017,Dylan Cole,HOU,ILB,D.Cole
2017,Eddie Pleasant,HOU,DB,E.Pleasant
2017,J.J. Watt,HOU,DE,J.Watt
2017,Jadeveon Clowney,HOU,OLB,J.Clowney
2017,Jelani Jenkins,HOU,LB,J.Jenkins
2017,Joel Heath,HOU,DE,J.Heath
2017,Johnathan Joseph,HOU,CB,J.Joseph
2017,Johnthan Banks,HOU,DB,J.Banks
2017,Jordan Todman,HOU,RB,J.Todman
2017,Ka'imi Fairbairn,HOU,K,K.Fairbairn
2017,Kareem Jackson,HOU,CB,K.Jackson
2017,Kendall Langford,HOU,DE,K.Langford
2017,Kevin Johnson,HOU,CB,K.Johnson
2017,Kurtis Drummond,HOU,FS,K.Drummond
2017,Lamar Miller,HOU,RB,L.Miller
2017,Lamarr Houston,HOU,LB,L.Houston
2017,Marcus Burley,HOU,DB,M.Burley
2017,Marcus Cromartie,HOU,DB,M.Cromartie
2017,Marcus Gilchrist,HOU,SS,M.Gilchrist
2017,Marcus Williams,HOU,CB,M.Williams
2017,Ryan Griffin,HOU,TE,R.Griffin
2017,Shane Lechler,HOU,P,S.Lechler
2017,Stephen Anderson,HOU,TE,S.Anderson
2017,Tom Savage,HOU,QB,T.Savage
2017,Treston Decoud,HOU,CB,T.Decoud
2017,Tyler Ervin,HOU,RB,T.Ervin
2017,Ufomba Kamalu,HOU,LB,U.Kamalu
2017,Whitney Mercilus,HOU,OLB,W.Mercilus
2017,Will Fuller,HOU,WR,W.Fuller
2017,Zach Cunningham,HOU,ILB,Z.Cunningham
2017,Adrian Peterson,ARI,RB,A.Peterson
2017,Andre Ellington,ARI,RB,A.Ellington
2017,Andy Lee,ARI,P,A.Lee
2017,Antoine Bethea,ARI,SS,A.Bethea
2017,Brandon Williams,ARI,CB,B.Williams
2017,Brittan Golden,ARI,WR,B.Golden
2017,Budda Baker,ARI,SAF,B.Baker
2017,Carson Palmer,ARI,QB,C.Palmer
2017,Chad Williams,ARI,WR,C.Williams
2017,Chandler Jones,ARI,OLB,C.Jones
2017,Chris Johnson,ARI,RB,C.Johnson
2017,Corey Peters,ARI,NT,C.Peters
2017,David Johnson,ARI,RB,D.Johnson
2017,Deone Bucannon,ARI,ILB,D.Bucannon
2017,Drew Stanton,ARI,QB,D.Stanton
2017,Elijhaa Penny,ARI,RB,E.Penny
2017,Frostee Rucker,ARI,DE,F.Rucker
2017,Haason Reddick,ARI,ILB,H.Reddick
2017,Ifeanyi Momah,ARI,TE,I.Momah
2017,J.J. Nelson,ARI,WR,J.Nelson
2017,Jaron Brown,ARI,WR,J.Brown
2017,Jermaine Gresham,ARI,TE,J.Gresham
2017,John Brown,ARI,WR,J.Brown
2017,Josh Bynes,ARI,LB,J.Bynes
2017,Josh Mauro,ARI,DE,J.Mauro
2017,Justin Bethel,ARI,CB,J.Bethel
2017,Kareem Martin,ARI,ILB,K.Martin
2017,Karlos Dansby,ARI,ILB,K.Dansby
2017,Kerwynn Williams,ARI,RB,K.Williams
2017,Larry Fitzgerald,ARI,WR,L.Fitzgerald
2017,Markus Golden,ARI,OLB,M.Golden
2017,Olsen Pierre,ARI,DT,O.Pierre
2017,Patrick Peterson,ARI,CB,P.Peterson
2017,Phil Dawson,ARI,K,P.Dawson
2017,Ricky Seals-Jones,ARI,TE,R.Seals-Jones
2017,Robert Nkemdiche,ARI,DT,R.Nkemdiche
2017,Rodney Gunter,ARI,DE,R.Gunter
2017,Rudy Ford,ARI,CB,R.Ford
2017,Scooby Wright,ARI,ILB,S.Wright
2017,Tramon Williams,ARI,DB,T.Williams
2017,Troy Niklas,ARI,TE,T.Niklas
2017,Tyrann Mathieu,ARI,FS,T.Mathieu
2017,Tyvon Branch,ARI,SS,T.Branch
2017,Xavier Williams,ARI,NT,X.Williams
2017,A'Shawn Robinson,DET,DT,A.Robinson
2017,Akeem Spence,DET,DT,A.Spence
2017,Alex Barrett,DET,DE,A.Barrett
2017,Ameer Abdullah,DET,RB,A.Abdullah
2017,Anthony Zettel,DET,DE,A.Zettel
2017,Caraun Reid,DET,DT,C.Reid
2017,Charles Washington,DET,DB,C.Washington
2017,Cornelius Washington,DET,DE,C.Washington
2017,D.J. Hayden,DET,DB,D.Hayden
2017,Darius Slay,DET,CB,D.Slay
2017,Darren Fells,DET,TE,D.Fells
2017,Don Carey,DET,SS,D.Carey
2017,Dwayne Washington,DET,RB,D.Washington
2017,Eric Ebron,DET,TE,E.Ebron
2017,Ezekiel Ansah,DET,DE,E.Ansah
2017,George Johnson,DET,DE,G.Johnson
2017,Glover Quin,DET,FS,G.Quin
2017,Golden Tate,DET,WR,G.Tate
2017,Haloti Ngata,DET,DT,H.Ngata
2017,Jalen Reeves-Maybin,DET,LB,J.Reeves-Maybin
2017,Jamal Agnew,DET,CB,J.Agnew
2017,Jared Abbrederis,DET,WR,J.Abbrederis
2017,Jarrad Davis,DET,LB,J.Davis
2017,Jeff Locke,DET,P,J.Locke
2017,Jeremiah Ledbetter,DET,DE,J.Ledbetter
2017,Jeremiah Valoaga,DET,DE,J.Valoaga
2017,Kasey Redfern,DET,P,K.Redfern
2017,Kenny Golladay,DET,WR,K.Golladay
2017,Khyri Thornton,DET,DT,K.Thornton
2017,Marvin Jones,DET,WR,M.Jones
2017,Matt Prater,DET,K,M.Prater
2017,Matthew Stafford,DET,QB,M.Stafford
2017,Michael Roberts,DET,TE,M.Roberts
2017,Miles Killebrew,DET,SS,M.Killebrew
2017,Nevin Lawson,DET,CB,N.Lawson
2017,Nick Bellore,DET,MLB,N.Bellore
2017,Paul Worrilow,DET,OLB,P.Worrilow
2017,Quandre Diggs,DET,CB,Q.Diggs
2017,Sam Martin,DET,P,S.Martin
2017,Steve Longa,DET,OLB,S.Longa
2017,T.J. Jones,DET,WR,T.Jones
2017,Tahir Whitehead,DET,OLB,T.Whitehead
2017,Tavon Wilson,DET,SS,T.Wilson
2017,Teez Tabor,DET,CB,T.Tabor
2017,Theo Riddick,DET,RB,T.Riddick
2017,Thurston Armbrister,DET,OLB,T.Armbrister
2017,Zach Zenner,DET,RB,Z.Zenner
2017,B.J. Bello,CLE,LB,B.Bello
2017,Briean Boddy-Calhoun,CLE,SS,B.Boddy-Calhoun
2017,Britton Colquitt,CLE,P,B.Colquitt
2017,Bryce Treggs,CLE,WR,B.Treggs
2017,Caleb Brantley,CLE,DT,C.Brantley
2017,Carl Nassib,CLE,DE,C.Nassib
2017,Christian Kirksey,CLE,OLB,C.Kirksey
2017,Cody Kessler,CLE,QB,C.Kessler
2017,Corey Coleman,CLE,WR,C.Coleman
2017,Danny Shelton,CLE,DT,D.Shelton
2017,David Njoku,CLE,TE,D.Njoku
2017,Deon King,CLE,LB,D.King
2017,Derrick Kindred,CLE,SS,D.Kindred
2017,DeShone Kizer,CLE,QB,D.Kizer
2017,Dominique Alexander,CLE,ILB,D.Alexander
2017,Duke Johnson,CLE,RB,D.Johnson
